Tanggal,Kota/Kabupaten,Suhu Maksimum,Suhu Minimum,Suhu Rata-rata,Curah Hujan,Kelembaban,Kecepatan Angin_Max,Kecepatan Angin_Avg,Arah_Angin_deg,Arah Angin,SS
2019-03-01,Bandung,28.2,20.8,23.0,0.4,89.0,3.0,1.0,290.0,C ,5.6
2019-03-02,Bandung,29.8,20.4,23.6,27.999999999999996,82.0,5.0,2.0,240.0,W ,0.9
2019-03-03,Bandung,29.4,20.2,22.8,9.0,87.0,4.0,1.0,290.0,C ,2.8
2019-03-04,Bandung,30.2,20.0,24.5,1.5,78.0,4.0,2.0,290.0,W ,2.1
2019-03-05,Bandung,27.8,20.8,23.5,0.0,83.0,5.0,1.0,210.0,C ,6.9
2019-03-06,Bandung,28.6,21.0,22.0,14.9,90.0,8.0,3.0,290.0,C ,1.7
2019-03-07,Bandung,27.4,19.2,22.3,18.0,80.0,5.0,2.0,280.0,W ,1.0
2019-03-08,Bandung,30.4,19.2,24.4,0.0,80.0,4.0,2.0,240.0,SW,0.8
2019-03-09,Bandung,31.4,20.5,24.2,0.4,78.0,5.0,2.0,290.0,C ,4.7
2019-03-10,Bandung,27.4,18.9,22.6,6.6,77.0,2.0,1.0,270.0,W ,3.8
2019-03-11,Bandung,29.2,19.4,23.1,27.999999999999996,84.0,6.0,2.0,330.0,C ,0.5
2019-03-12,Bandung,29.2,20.2,23.4,1.7,79.0,5.0,2.0,240.0,W ,4.8
2019-03-13,Bandung,30.4,20.4,24.3,0.2,76.0,6.0,2.0,270.0,W ,3.4
2019-03-14,Bandung,31.6,20.6,25.6,0.0,64.0,4.0,2.0,310.0,C ,4.2
2019-03-15,Bandung,30.6,20.8,24.4,27.999999999999996,72.0,5.0,2.0,290.0,C ,6.0
2019-03-16,Bandung,28.8,20.8,23.5,8.0,82.0,3.0,1.0,330.0,C ,6.1
2019-03-17,Bandung,27.0,20.4,22.5,13.2,83.0,4.0,1.0,270.0,C ,2.3
2019-03-18,Bandung,29.0,20.0,23.4,1.2,78.0,5.0,2.0,150.0,C ,0.5
2019-03-19,Bandung,28.0,20.0,23.3,0.0,85.0,4.0,1.0,290.0,C ,2.0
2019-03-20,Bandung,30.0,19.6,23.3,27.7,82.0,4.0,1.0,310.0,NW,1.3
2019-03-21,Bandung,30.4,19.6,23.2,2.6,82.0,6.0,2.0,280.0,W ,6.5
2019-03-22,Bandung,30.8,20.6,24.4,2.0,77.0,5.0,3.0,290.0,W ,5.9
2019-03-23,Bandung,29.6,20.8,25.0,0.0,74.0,5.0,3.0,270.0,W ,7.5
2019-03-24,Bandung,29.0,21.7,24.4,2.6,73.0,5.0,2.0,300.0,NW,6.0
2019-03-25,Bandung,30.6,21.8,24.7,0.0,78.0,5.0,2.0,280.0,C ,1.7
2019-03-26,Bandung,31.4,21.4,24.6,0.2,76.0,3.0,2.0,290.0,W ,5.3
2019-03-27,Bandung,30.2,21.3,24.0,27.999999999999996,83.0,3.0,1.0,110.0,C ,7.4
2019-03-28,Bandung,29.4,20.8,23.6,2.3,84.0,3.0,1.0,230.0,C ,2.6
2019-03-29,Bandung,32.0,20.2,23.9,6.2,80.0,5.0,2.0,160.0,C ,4.8
2019-03-30,Bandung,28.4,20.0,23.3,20.5,87.0,5.0,2.0,270.0,C ,7.6
2019-03-31,Bandung,27.0,20.0,22.3,4.6,89.0,5.0,1.0,280.0,C ,0.5
2019-04-01,Bandung,30.6,20.0,23.1,0.9,84.0,3.0,1.0,280.0,SE,2.7
2019-04-02,Bandung,28.6,20.1,23.1,0.0,85.0,3.0,2.0,300.0,C ,4.6
2019-04-03,Bandung,30.4,18.9,23.2,11.0,80.0,3.0,2.0,160.0,C ,4.4
2019-04-04,Bandung,29.2,18.6,23.9,16.6,84.0,4.0,1.0,270.0,C ,7.4
2019-04-05,Bandung,28.4,20.8,23.6,27.999999999999996,85.0,4.0,1.0,350.0,C ,4.5
2019-04-06,Bandung,30.2,20.0,23.4,7.0,82.0,3.0,2.0,300.0,C ,3.4
2019-04-07,Bandung,32.0,19.8,24.0,27.999999999999996,79.0,7.0,2.0,240.0,W ,6.7
2019-04-08,Bandung,30.6,20.0,23.5,27.999999999999996,86.0,4.0,1.0,280.0,C ,7.5
2019-04-09,Bandung,30.8,20.7,24.8,27.999999999999996,82.0,4.0,1.0,250.0,C ,7.7
2019-04-10,Bandung,31.6,22.0,25.9,27.999999999999996,76.0,6.0,3.0,240.0,W ,7.1
2019-04-11,Bandung,31.4,22.6,25.7,0.0,74.0,5.0,2.0,280.0,C ,8.7
2019-04-12,Bandung,31.0,21.4,24.9,0.0,75.0,7.0,2.0,210.0,SW,5.8
2019-04-13,Bandung,30.0,21.4,24.4,0.1,84.0,3.0,1.0,270.0,C ,8.4
2019-04-14,Bandung,29.4,21.2,23.7,27.999999999999996,85.0,5.0,1.0,310.0,C ,3.7
2019-04-15,Bandung,31.2,20.9,24.1,23.0,82.0,3.0,2.0,160.0,W ,4.0
2019-04-16,Bandung,28.8,20.8,23.1,2.8,84.0,4.0,1.0,210.0,C ,6.3
2019-04-17,Bandung,28.7,19.8,23.0,9.6,86.0,5.0,1.0,290.0,C ,4.0
2019-04-18,Bandung,29.0,19.8,23.1,5.5,89.0,3.0,1.0,130.0,C ,6.0
2019-04-19,Bandung,27.4,20.2,23.2,13.0,89.0,3.0,1.0,140.0,C ,3.2
2019-04-20,Bandung,28.8,20.8,24.1,22.2,87.0,3.0,1.0,230.0,C ,2.0
2019-04-21,Bandung,28.6,20.6,23.6,27.999999999999996,80.0,4.0,1.0,130.0,C ,2.0
2019-04-22,Bandung,31.4,19.8,24.4,0.0,75.0,6.0,2.0,120.0,SE,4.5
2019-04-23,Bandung,31.0,20.2,24.7,0.0,80.0,5.0,2.0,140.0,SE,7.1
2019-04-24,Bandung,26.8,21.6,23.4,7.3,83.0,2.0,0.0,280.0,C ,6.6
2019-04-25,Bandung,29.6,19.8,23.6,0.2,82.0,4.0,1.0,210.0,C ,0.0
2019-04-26,Bandung,29.4,19.9,24.1,19.5,82.0,3.0,1.0,250.0,C ,5.9
2019-04-27,Bandung,29.4,19.0,24.1,1.0,85.0,3.0,1.0,150.0,C ,5.7
2019-04-28,Bandung,27.7,19.8,23.0,8.8,88.0,2.0,1.0,240.0,C ,4.7
2019-04-29,Bandung,30.4,21.4,24.9,2.4,83.0,5.0,2.0,260.0,C ,3.6
2019-04-30,Bandung,30.4,21.8,25.3,4.8,86.0,5.0,2.0,250.0,W ,5.8
2019-05-01,Bandung,29.4,22.0,25.1,6.1,81.0,5.0,2.0,250.0,W ,4.3
2019-05-02,Bandung,30.4,21.6,24.5,0.0,76.0,5.0,2.0,290.0,E ,5.4
2019-05-03,Bandung,31.2,21.0,24.4,0.6,80.0,4.0,2.0,300.0,C ,5.7
2019-05-04,Bandung,30.6,21.0,24.9,0.4,79.0,5.0,2.0,300.0,W ,7.7
2019-05-05,Bandung,29.6,21.0,23.9,27.999999999999996,82.0,4.0,2.0,120.0,SE,7.1
2019-05-06,Bandung,27.6,21.0,23.8,1.2,85.0,4.0,1.0,290.0,W ,5.0
2019-05-07,Bandung,29.4,20.0,24.0,12.5,80.0,3.0,1.0,270.0,C ,3.7
2019-05-08,Bandung,29.2,20.0,23.7,27.999999999999996,84.0,4.0,2.0,160.0,C ,6.4
2019-05-09,Bandung,30.0,21.0,23.6,9.0,85.0,4.0,2.0,250.0,SE,3.9
2019-05-10,Bandung,30.0,21.0,24.1,27.999999999999996,82.0,3.0,1.0,120.0,C ,7.1
2019-05-11,Bandung,29.2,20.0,23.5,3.0,84.0,5.0,2.0,270.0,C ,5.3
2019-05-12,Bandung,31.0,20.0,23.9,14.7,80.0,7.0,2.0,300.0,C ,4.9
2019-05-13,Bandung,29.0,20.0,24.1,10.5,81.0,3.0,1.0,150.0,C ,6.6
2019-05-14,Bandung,29.6,21.0,24.1,5.8,78.0,4.0,1.0,140.0,C ,6.2
2019-05-15,Bandung,29.2,20.0,23.5,0.2,82.0,3.0,2.0,110.0,E ,5.8
2019-05-16,Bandung,30.2,20.0,23.4,17.5,86.0,5.0,2.0,270.0,C ,4.9
2019-05-17,Bandung,30.5,19.0,23.6,27.999999999999996,73.0,5.0,2.0,100.0,C ,7.1
2019-05-18,Bandung,28.4,19.0,23.0,0.0,74.0,4.0,1.0,200.0,S ,9.4
2019-05-19,Bandung,29.0,19.0,23.2,0.0,76.0,5.0,1.0,240.0,C ,6.0
2019-05-20,Bandung,29.2,19.0,23.9,0.0,79.0,4.0,2.0,120.0,SE,7.6
2019-05-21,Bandung,30.4,19.0,24.0,2.3,74.0,5.0,2.0,90.0,C ,5.0
2019-05-22,Bandung,30.2,19.0,24.0,0.0,78.0,5.0,2.0,140.0,W ,8.7
2019-05-23,Bandung,30.2,19.0,23.5,27.999999999999996,72.0,4.0,2.0,130.0,C ,7.0
2019-05-24,Bandung,30.6,19.0,24.3,0.0,71.0,6.0,2.0,40.0,C ,6.6
2019-05-25,Bandung,30.2,20.0,23.8,0.0,73.0,5.0,1.0,270.0,C ,8.9
2019-05-26,Bandung,30.0,20.0,23.7,0.0,75.0,4.0,1.0,100.0,C ,8.2
2019-05-27,Bandung,28.8,20.0,23.7,1.3,78.0,3.0,2.0,210.0,C ,6.3
2019-05-28,Bandung,28.6,19.0,23.5,0.0,80.0,4.0,1.0,290.0,C ,5.5
2019-05-29,Bandung,29.4,20.0,23.3,19.8,82.0,4.0,2.0,20.0,C ,4.6
2019-05-30,Bandung,30.0,20.0,23.4,2.5,80.0,4.0,1.0,140.0,C ,7.4
2019-05-31,Bandung,30.0,19.0,23.5,10.4,68.0,4.0,2.0,140.0,SE,6.9
2019-06-01,Bandung,30.0,19.0,22.8,0.0,78.0,7.0,2.0,120.0,C ,8.2
2019-06-02,Bandung,29.8,19.0,23.5,5.1,78.0,3.0,2.0,140.0,C ,7.3
2019-06-03,Bandung,28.0,19.0,22.9,0.2,78.0,3.0,1.0,40.0,C ,8.3
2019-06-04,Bandung,29.2,19.0,23.3,0.0,76.0,4.0,2.0,280.0,C ,1.6
2019-06-05,Bandung,31.2,18.0,24.1,0.0,75.0,5.0,2.0,300.0,C ,6.2
2019-06-06,Bandung,30.4,20.0,25.1,0.0,73.0,3.0,1.0,330.0,W ,3.5
2019-06-07,Bandung,29.4,22.0,25.1,0.0,73.0,5.0,1.0,310.0,C ,8.6
2019-06-08,Bandung,29.2,21.0,23.2,0.0,80.0,5.0,1.0,250.0,C ,6.1
2019-06-09,Bandung,30.8,18.0,23.3,11.0,68.0,4.0,1.0,150.0,C ,5.8
